INFO 2024-08-12 11:29:08,567 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-12 11:29:08,568 autoreload Waiting for apps ready_event.
DEBUG 2024-08-12 11:29:08,590 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-12 11:29:08,613 autoreload Watching dir D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\jazzmin\templates with glob **/*.
DEBUG 2024-08-12 11:29:08,614 autoreload Watching dir D:\django synclab\synclab with glob **/*.
DEBUG 2024-08-12 11:29:08,615 autoreload Watching dir D:\django synclab\synclab\template with glob **/*.
DEBUG 2024-08-12 11:29:08,615 autoreload Watching dir D:\django synclab\synclab\locale with glob **/*.mo.
DEBUG 2024-08-12 11:29:08,615 autoreload Watching dir D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\jazzmin\locale with glob **/*.mo.
DEBUG 2024-08-12 11:29:08,616 autoreload Watching dir D:\django synclab\synclab\myapp\locale with glob **/*.mo.
DEBUG 2024-08-12 11:29:08,665 utils (0.000) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2024-08-12 11:29:08,666 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-08-12 11:29:08,671 utils (0.000) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2024-08-12 11:29:08,680 utils (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2024-08-12 11:29:08,724 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\models\options.py first seen with mtime 1706593859.526953
DEBUG 2024-08-12 11:29:08,725 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1706593859.0886564
DEBUG 2024-08-12 11:29:08,725 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\json\__init__.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,726 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\MySQLdb\times.py first seen with mtime 1722918864.7917826
DEBUG 2024-08-12 11:29:08,726 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\utils\_os.py first seen with mtime 1706593859.5972896
DEBUG 2024-08-12 11:29:08,726 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\asyncio\__init__.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,727 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\core\mail\utils.py first seen with mtime 1706593859.4723985
DEBUG 2024-08-12 11:29:08,727 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1706593859.4901414
DEBUG 2024-08-12 11:29:08,728 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\http\__init__.py first seen with mtime 1706593859.574479
DEBUG 2024-08-12 11:29:08,728 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\queue.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,728 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1706593859.4491093
DEBUG 2024-08-12 11:29:08,729 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\models\utils.py first seen with mtime 1706593859.5289528
DEBUG 2024-08-12 11:29:08,729 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\asyncio\events.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,729 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\signal.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,730 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\email\contentmanager.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,730 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\forms\fields.py first seen with mtime 1706593859.542652
DEBUG 2024-08-12 11:29:08,730 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\jazzmin\settings.py first seen with mtime 1722842074.7581983
DEBUG 2024-08-12 11:29:08,731 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\backends\mysql\schema.py first seen with mtime 1706593859.5026314
DEBUG 2024-08-12 11:29:08,731 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1706593859.5898
DEBUG 2024-08-12 11:29:08,732 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\asyncio\trsock.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,732 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\asyncio\taskgroups.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,732 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1706593858.2837226
DEBUG 2024-08-12 11:29:08,733 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1706593858.6870103
DEBUG 2024-08-12 11:29:08,733 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1706593859.4710252
DEBUG 2024-08-12 11:29:08,733 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\email\feedparser.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,734 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\email\generator.py first seen with mtime 1666616648.0
